rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.9738458574181118,0.9739633073636593,0.9745413420457402,0.9884292535813017,0.9890072882633827,0.9901650330903913
1,0.9730862025634581,0.9745329647315071,0.9739549300494261,0.9936332411828769,0.9930535310379494,0.9930535310379494
2,0.9744748261707297,0.9739549300494261,0.9739549300494261,0.9936332411828769,0.9936332411828769,0.9942129513278044
3,0.9726306442154646,0.9722241769288766,0.9722258523917233,0.9930568819636424,0.9930568819636424,0.9936349166457233
4,0.9777738125157075,0.9780061992125324,0.9780061992125324,0.9953690206919662,0.9971064756639022,0.9971064756639022
5,0.9728060651755047,0.9716494931724888,0.9722292033174164,0.991894110748094,0.9918957862109409,0.9918957862109407
6,0.9732029823238669,0.9733768953673453,0.9727988606852642,0.9878428415849878,0.986686772220826,0.9878428415849878
7,0.9759185725056547,0.9774214626790652,0.9768434279969842,0.9942079249392645,0.9947859596213455,0.9947859596213455
8,0.9702674038703192,0.9699204155147859,0.9699204155147859,0.9901650330903913,0.9918991371366339,0.9913211024545531
9,0.9695105973025049,0.9676015749350759,0.9687593197620842,0.9947943369355785,0.9953723716176593,0.9965284409818211
