rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.8960046457607435,0.894541231126597,0.894541231126597,0.9425087108013936,0.9521486643437862,0.9521486643437862
1,0.8949593495934959,0.8997677119628339,0.8997677119628339,0.9523809523809523,0.9571428571428571,0.9523809523809523
2,0.8860975609756098,0.8894308943089431,0.8846689895470383,0.9470383275261325,0.9470383275261325,0.9519163763066203
3,0.9038211382113822,0.9042973286875726,0.9042973286875726,0.9473867595818815,0.9473867595818815,0.9473867595818815
4,0.8931707317073169,0.8951219512195122,0.8903600464576075,0.957142857142857,0.957142857142857,0.9523809523809522
5,0.8779907084785133,0.8803716608594657,0.8803716608594657,0.9567944250871079,0.9567944250871079,0.9567944250871079
6,0.89869918699187,0.8996515679442508,0.8996515679442508,0.9476190476190476,0.9476190476190476,0.9476190476190476
7,0.893704994192799,0.8946573751451801,0.8946573751451801,0.9331010452961672,0.9331010452961672,0.9331010452961672
8,0.8953658536585367,0.8948896631823461,0.8948896631823461,0.9617886178861788,0.9617886178861788,0.9617886178861788
9,0.8865969802555169,0.8851335656213706,0.8947735191637631,0.9519163763066201,0.9423925667828106,0.9423925667828106
