rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.41200000000000003,0.41200000000000003,0.404,0.462,0.47400000000000003,0.47000000000000003
1,0.4412,0.438,0.438,0.488,0.49000000000000005,0.488
2,0.44539999999999996,0.446,0.454,0.496,0.49000000000000005,0.496
3,0.44620000000000004,0.44400000000000006,0.44399999999999995,0.49399999999999994,0.484,0.484
4,0.449,0.44800000000000006,0.45200000000000007,0.48199999999999993,0.49399999999999994,0.49399999999999994
5,0.42460000000000003,0.41600000000000004,0.42000000000000004,0.47000000000000003,0.476,0.48
6,0.44320000000000004,0.44400000000000006,0.446,0.48600000000000004,0.48200000000000004,0.4800000000000001
7,0.42960000000000004,0.43,0.42400000000000004,0.476,0.484,0.47800000000000004
8,0.4438,0.442,0.45,0.506,0.49799999999999994,0.502
9,0.43760000000000004,0.442,0.442,0.4600000000000001,0.462,0.47000000000000003
