rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.5786,0.5800000000000001,0.584,0.609,0.601,0.605
1,0.5858000000000001,0.587,0.591,0.612,0.6060000000000001,0.607
2,0.5728,0.573,0.5780000000000001,0.595,0.593,0.593
3,0.5751999999999999,0.576,0.575,0.5930000000000001,0.595,0.5959999999999999
4,0.5791999999999999,0.58,0.581,0.5980000000000001,0.604,0.607
5,0.5754999999999999,0.571,0.569,0.5980000000000001,0.603,0.601
6,0.5871999999999999,0.584,0.588,0.616,0.609,0.6119999999999999
7,0.5956,0.5940000000000001,0.597,0.608,0.614,0.616
8,0.5740000000000001,0.5730000000000001,0.5720000000000001,0.599,0.599,0.599
9,0.5821999999999999,0.587,0.583,0.6050000000000001,0.61,0.605
