rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.9821928195605075,0.9821928195605075,0.9821928195605075,0.9872021046115755,0.9872021046115755,0.9872021046115755
1,0.9816341689879293,0.9816341689879293,0.9816341689879293,0.9844165892912411,0.9838610337356855,0.9838610337356855
2,0.9810863509749304,0.9810863509749304,0.9810863509749304,0.9860925410089756,0.9860925410089756,0.9860925410089756
3,0.9816372640049519,0.981637264004952,0.981637264004952,0.9883116682141753,0.9883116682141753,0.9883116682141753
4,0.9816388115134634,0.9816388115134634,0.9816388115134634,0.9872051996285981,0.9872051996285981,0.9872051996285981
5,0.981637264004952,0.981637264004952,0.981637264004952,0.9833039306716188,0.9844165892912411,0.9838610337356857
6,0.9833039306716186,0.9833039306716186,0.9833039306716186,0.9866450015475087,0.9866450015475087,0.9866450015475087
7,0.9782869080779945,0.9782869080779945,0.9782869080779945,0.9866372640049521,0.987194367069019,0.987194367069019
8,0.983300835654596,0.9833008356545963,0.9833008356545963,0.9894227793252863,0.9888656762612195,0.9888656762612195
9,0.9805261528938409,0.9805261528938409,0.9805261528938409,0.9860909935004643,0.9855338904363974,0.9855338904363974
