rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.9789473684210526,0.9789473684210528,0.9789473684210528,0.9859649122807017,0.9859649122807017,0.9859649122807017
1,0.9701288619779538,0.9701288619779538,0.9701288619779538,0.9894581586710137,0.991212544635926,0.991212544635926
2,0.9736221083682656,0.9736221083682658,0.9736221083682658,0.9894581586710137,0.9894581586710137,0.9894581586710137
3,0.9771619313771153,0.9771619313771154,0.9771619313771154,0.9894426331315014,0.9894426331315014,0.9894426331315014
4,0.9771308802980903,0.9771308802980905,0.9771308802980905,0.9894271075919887,0.9894271075919887,0.9894271075919887
5,0.9771464058376029,0.9771464058376029,0.9771464058376029,0.9859338612016767,0.9859338612016767,0.9859338612016767
6,0.9789318428815401,0.9789318428815402,0.9789318428815402,0.9912280701754386,0.9912280701754386,0.9912280701754386
7,0.9718677224033534,0.9718677224033534,0.9718677224033534,0.9876727216270765,0.9876727216270765,0.9876727216270765
8,0.9789163173420274,0.9789163173420276,0.9789163173420276,0.9859338612016767,0.9859338612016767,0.9859338612016767
9,0.9841950007762768,0.9841950007762769,0.9841950007762769,0.991212544635926,0.991212544635926,0.991212544635926
