rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.22536796536796538,0.23073593073593074,0.23073593073593074,0.4809523809523809,0.49004329004329,0.49004329004329
1,0.28034632034632034,0.26926406926406926,0.2878787878787879,0.41818181818181815,0.47316017316017317,0.4458874458874459
2,0.21424242424242426,0.20216450216450213,0.2112554112554113,0.4805194805194805,0.4896103896103895,0.4619047619047619
3,0.2916017316017316,0.30476190476190473,0.2952380952380952,0.5073593073593073,0.4792207792207792,0.4701298701298701
4,0.2867099567099567,0.2865800865800866,0.2683982683982684,0.4523809523809524,0.4619047619047619,0.47099567099567097
5,0.28528138528138525,0.26969696969696966,0.26969696969696966,0.48225108225108226,0.47359307359307357,0.49264069264069266
6,0.2726839826839827,0.26796536796536796,0.2774891774891775,0.4714285714285714,0.4714285714285714,0.4809523809523809
7,0.2399134199134199,0.23073593073593074,0.22164502164502164,0.4779220779220779,0.46017316017316023,0.4415584415584415
8,0.2503030303030303,0.24112554112554113,0.23203463203463204,0.4545454545454545,0.445021645021645,0.4541125541125541
9,0.2674025974025974,0.26796536796536796,0.2683982683982684,0.451948051948052,0.46190476190476193,0.4705627705627705
