rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.7460110192837466,0.7436914600550966,0.7387052341597797,0.8119283746556473,0.8135950413223141,0.8185812672176309
1,0.7276611570247935,0.73366391184573,0.72866391184573,0.8019146005509643,0.8152203856749312,0.810206611570248
2,0.7516184573002755,0.7554407713498622,0.7471212121212121,0.8253856749311295,0.8270661157024793,0.8287327823691459
3,0.7573994490358127,0.7553994490358127,0.7620661157024793,0.8069972451790633,0.8103168044077134,0.8119559228650137
4,0.7416859504132229,0.7405234159779613,0.7438567493112948,0.7937603305785124,0.8054132231404958,0.8120936639118457
5,0.7405482093663912,0.7403856749311294,0.7370523415977961,0.8153030303030302,0.8103168044077135,0.8086363636363636
6,0.7404903581267217,0.7454820936639119,0.7388154269972452,0.8102754820936638,0.8136088154269971,0.8102892561983472
7,0.7410550964187327,0.7486914600550965,0.7437052341597796,0.8169421487603306,0.8219421487603306,0.8136225895316805
8,0.7174573002754822,0.722107438016529,0.7154683195592286,0.7936501377410469,0.7903030303030303,0.7903305785123967
9,0.7372286501377412,0.740413223140496,0.743732782369146,0.8019559228650138,0.8152892561983471,0.8119421487603307
