rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.9671235090554571,0.967123509055457,0.967123509055457,0.9700395243030547,0.9703047762924445,0.9703047762924445
1,0.9671252656911484,0.9671252656911482,0.9671252656911482,0.9721622428724507,0.9724274948618407,0.9724274948618407
2,0.9671263196725632,0.9671263196725631,0.9671263196725631,0.969247632933406,0.9697777855850476,0.969512884922796
3,0.9671277249811162,0.9671277249811162,0.9671277249811162,0.9697788395664624,0.970043740228714,0.970043740228714
4,0.9671252656911484,0.9671252656911482,0.9671252656911482,0.9711026402234442,0.9716324415479474,0.9716324415479474
5,0.9671266709997015,0.9671266709997013,0.9671266709997013,0.9695114796142427,0.9692472816062677,0.9689820296168777
6,0.9671284276353929,0.9671284276353929,0.9671284276353929,0.9721650534895568,0.9719005041544435,0.9716356034921917
7,0.9671266709997013,0.9671266709997013,0.9671266709997013,0.9711040455319973,0.9705735415532173,0.9705735415532173
8,0.9671231577283187,0.9671231577283187,0.9671231577283187,0.9697742723136648,0.9700395243030547,0.9703047762924447
9,0.9671252656911484,0.9671252656911482,0.9671252656911482,0.9697774342579091,0.9711019375691675,0.9708370369069158
