rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.9807936507936509,0.9830158730158731,0.9830158730158731,1.0,1.0,1.0
1,0.9843174603174603,0.9831746031746033,0.9831746031746033,1.0,1.0,1.0
2,0.9842857142857143,0.9831746031746033,0.9831746031746033,1.0,1.0,1.0
3,0.9855555555555556,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0
4,0.99,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0
5,0.9838888888888888,0.9833333333333332,0.9833333333333332,1.0,1.0,1.0
6,0.9841746031746033,0.9830158730158731,0.9830158730158731,1.0,1.0,1.0
7,0.9823015873015872,0.9828571428571429,0.9828571428571429,1.0,1.0,1.0
8,0.9770476190476189,0.9776190476190475,0.9776190476190475,1.0,1.0,1.0
9,0.9838888888888888,0.9833333333333332,0.9833333333333332,1.0,1.0,1.0
