rep,bag_svc,factory,super_ensemble,workshop_100,workshop_300,workshop_500
0,0.581010752688172,0.5888172043010752,0.5756989247311828,0.7081720430107526,0.7081720430107526,0.7015053763440859
1,0.5640860215053763,0.5632258064516129,0.556989247311828,0.6761290322580645,0.6827956989247312,0.6761290322580645
2,0.5622580645161289,0.5694623655913977,0.5694623655913977,0.695268817204301,0.6752688172043011,0.6819354838709677
3,0.6047096774193548,0.6217204301075269,0.6217204301075269,0.6881720430107527,0.6817204301075268,0.6881720430107526
4,0.5841290322580645,0.5823655913978495,0.5952688172043011,0.707741935483871,0.7012903225806452,0.7079569892473118
5,0.5929677419354838,0.6021505376344085,0.6021505376344085,0.6819354838709677,0.6552688172043011,0.6819354838709677
6,0.5612473118279571,0.5559139784946237,0.5559139784946237,0.6888172043010753,0.6888172043010753,0.6888172043010753
7,0.5937849462365591,0.6090322580645161,0.6090322580645161,0.6954838709677419,0.7083870967741935,0.7083870967741935
8,0.5695268817204301,0.5761290322580646,0.5761290322580646,0.6688172043010752,0.6623655913978495,0.6754838709677419
9,0.5569462365591398,0.5754838709677419,0.5621505376344086,0.7010752688172044,0.7010752688172043,0.687741935483871
